SPECIES,STRAIN,JGILIBRARY,BIOSAMPLE,BIOPROJECT,SRA,LOCUSTAG,TEMPLATE
Mortierella cystojenkinii,1230,BCCTH,SAMN05720522,PRJNA340830,SRS1930872,BGZ83,Mortierellaceae_MLST
Basidiobolus heterosporus,ARSEF 8332,CUPXS,SAMN10865591,PRJNA519387,SRS4604796,EV275,ZygoLCG
Basidiobolus ranarum,AGB5,UCRAGB5,SAMN06265880,PRJNA364306,,BX613,ZygoLCG
Conidiobolus antarcticus,ARSEF 6913,CUPXP,SAMN10865590,PRJNA519386,SRS4604793,EV274,ZygoLCG
Conidiobolus firmipilleus,ARSEF 2731,CHXWS,SAMN09074834,PRJNA463341,SRS3664041,DFQ34,ZygoLCG
Conidiobolus heterosporus,ARSEF 6386,CHXWY,SAMN09074673,PRJNA463338,SRS3664045,DFQ31,ZygoLCG
Conidiobolus lamprauges,ARSEF 2338,CHXWP,SAMN09074664,PRJNA463323,SRS3664037,DFQ18,ZygoLCG
Conidiobolus lamprauges,NRRL 1229,CTHWH,SAMN10361075,PRJNA499642,SRS4289373,EC935,ZygoLCG
Conidiobolus megalotocus,ARSEF 8428,CHXXA,SAMN09074662,PRJNA463321,SRS3664046,DFQ16,ZygoLCG
Conidiobolus megalotocus,NRRL 3011,CTHTZ,SAMN10361242,PRJNA499693,SRS4287283,EC987,ZygoLCG
Conidiobolus osmodes,ARSEF 79,COZTU,SAMN10362772,PRJNA500290,SRS4247302,EDC06,ZygoLCG
Conidiobolus polytocus,NRRL 1231,CTHWA,SAMN10361076,PRJNA499643,SRS4288463,EC936,ZygoLCG
Conidiobolus pumilus,ARSEF 6383,COZTT,SAMN10865798,PRJNA519840,SRS4331674,EV402,ZygoLCG
Conidiobolus pumilus,ARSEF 6383,COZTT,SAMN10865798,PRJNA519840,SRS4331674,EV402,ZygoLCG
Conidiobolus rhysosporus,ARSEF 448,CHXWT,SAMN09074663,PRJNA463322,SRS3664043,DFQ17,ZygoLCG
Conidiobolus rhysosporus,NRRL 1225,CTHUZ,SAMN10361577,PRJNA499695,SRS4288467,EC989,ZygoLCG
Conidiobolus sp.,NRRL 29146,CTHTY,SAMN10366862,PRJNA499692,SRS4287286,EC986,ZygoLCG
Conidiobolus thromboides,ARSEF 4968,CHXWU,SAMN09074833,PRJNA463340,SRS3664042,DFQ33,ZygoLCG
Conidiobolus thromboides,NRRL 1224,CTHUA,SAMN10361283,PRJNA499691,SRS4287282,EC985,ZygoLCG
Coemansia aciculifera,BCRC 34181,GPGGC,SAMN13165656,PRJNA581600,,GGI21,ZygoLCG
Coemansia aciculifera,NRRL 2694,GPCZB,SAMN13165557,PRJNA581572,,GGH93,ZygoLCG
Coemansia aciculifera,RSA 476,GPGCG,SAMN13165642,PRJNA581573,,GGH94,ZygoLCG
Coemansia asiatica,BCRC 34628,GBNTG,SAMN11532557,PRJNA538871,SRS5392557,FB639,ZygoLCG
Coemansia asiatica,NBRC 105413,NC105413,,,,,ZygoLCG
Coemansia biformis,BCRC 34381,BCR34381,,,,,ZygoLCG
Coemansia brasiliensis,NRRL 1566,GWCZW,,,,,ZygoLCG
Coemansia erecta,BCRC 34228,GPCYX,SAMN13165570,PRJNA581601,,GGI22,ZygoLCG
Coemansia erecta,CBS 336.87,GWCZX,,,,,ZygoLCG
Coemansia erecta,CBS 939.97,GWCZY,,,,,ZygoLCG
Coemansia erecta,IMI 279145,GWCZZ,,,,,ZygoLCG
Coemansia erecta,NBRC 32514,NRC32514,,,,,ZygoLCG
Coemansia formosensis,NRRL 5531T,GBNUS,SAMN11510821,PRJNA535812,SRS5392555,FBU31,ZygoLCG
Coemansia furcata,BCRC 34190,GPCZX,SAMN13165571,PRJNA581603,,GGI24,ZygoLCG
Coemansia furcata,CBS 102833,GWGAA,SAMN13165571,PRJNA581603,SRS6088875,GGI24,ZygoLCG
Coemansia interrupta,BCRC 34489,GPCZO,SAMN13165568,PRJNA581594,,GGI15,ZygoLCG
Coemansia linderi,BCRC 34191,GPGHN,SAMN13190185,PRJNA581597,,GGI18,ZygoLCG
Coemansia pectinata,BCRC 34297,GPGHT,SAMN13165569,PRJNA581598,,GGI19,ZygoLCG
Coemansia sp.,BCRC 34301,GPGAU,SAMN13190105,PRJNA581599,,GGI20,ZygoLCG
Coemansia sp.,BCRC 34490,GWGAB,,,,,ZygoLCG
Coemansia sp.,BCRC 34962,GWCYN,,,,,ZygoLCG
Coemansia sp.,Benny D115,GPGBO,SAMN13190182,PRJNA581586,,GGI07,ZygoLCG
Coemansia sp.,Benny D160-2,BeD160_2,,,,,ZygoLCG
Coemansia sp.,D1744,GWGAC,SAMN13190352,PRJNA581173,SRS6089423,GGF47,ZygoLCG
Coemansia sp.,IMI 203386,GBNSO,SAMN11532042,PRJNA538877,SRS5392558,FB645,ZygoLCG
Coemansia sp.,IMI 209127,MI209127,,,,,ZygoLCG
Coemansia sp.,RSA 1085,GWGAG,,,,,ZygoLCG
Coemansia sp.,RSA 1086,RSA1086,,,,,ZygoLCG
Coemansia sp.,RSA 1200,GWGAH,,,,,ZygoLCG
Coemansia sp.,RSA 1250,GWGAN,,,,,ZygoLCG
Coemansia sp.,RSA 1285,GPGGH,SAMN13189931,PRJNA581578,,GGH99,ZygoLCG
Coemansia sp.,RSA 1286,GPCZU,SAMN13190350,PRJNA581166,,GGF40,ZygoLCG
Coemansia sp.,RSA 1358,GPGAS,SAMN13190347,PRJNA581605,,GGI26,ZygoLCG
Coemansia sp.,RSA 1365,GWGAO,,,,,ZygoLCG
Coemansia sp.,RSA 1591,RSA1591,,,,,ZygoLCG
Coemansia sp.,RSA 1694,GPCZN,SAMN13190044,PRJNA581170,,GGF44,ZygoLCG
Coemansia sp.,RSA 1721,GPGHG,SAMN13190106,PRJNA581165,,GGF39,ZygoLCG
Coemansia sp.,RSA 1722,GWGAP,,,,,ZygoLCG
Coemansia sp.,RSA 1752,RSA1752,,,,,ZygoLCG
Coemansia sp.,RSA 1797,GWGAS,,,,,ZygoLCG
Coemansia sp.,RSA 1804,CUPXY,SAMN10872741,PRJNA519290,SRS4604248,EV177,ZygoLCG
Coemansia sp.,RSA 1807,GOUNU,SAMN13190344,PRJNA581498,,GGH19,ZygoLCG
Coemansia sp.,RSA 1813,GWCYX,,,,,ZygoLCG
Coemansia sp.,RSA 1821,RSA1821,,,,,ZygoLCG
Coemansia sp.,RSA 1822,GPGCX,SAMN13190342,PRJNA581491,,GGH12,ZygoLCG
Coemansia sp.,RSA 1824,RSA1824,,,,,ZygoLCG
Coemansia sp.,RSA 1836,GPCYW,SAMN13190384,PRJNA581574,,GGH95,ZygoLCG
Coemansia sp.,RSA 1843,RSA1843,,,,,ZygoLCG
Coemansia sp.,RSA 1853,GPGCT,SAMN13190179,PRJNA581175,,GGF49,ZygoLCG
Coemansia sp.,RSA 1878,GWGAT,,,,,ZygoLCG
Coemansia sp.,RSA 1933,CUPZY,SAMN10872736,PRJNA519288,SRS4604784,EV175,ZygoLCG
Coemansia sp.,RSA 1935,GWGAU,,,,,ZygoLCG
Coemansia sp.,RSA 1937,GPGGZ,SAMN13190136,PRJNA581499,,GGH20,ZygoLCG
Coemansia sp.,RSA 1938,RSA1938,,,,,ZygoLCG
Coemansia sp.,RSA 1939,GWCYS,,,,,ZygoLCG
Coemansia sp.,RSA 1972,GPCZH,SAMN13190181,PRJNA581575,,GGH96,ZygoLCG
Coemansia sp.,RSA 2049,GPGGU,SAMN13190142,PRJNA581590,,GGI11,ZygoLCG
Coemansia sp.,RSA 2050,GWGAW,,,,,ZygoLCG
Coemansia sp.,RSA 2052,GWGAX,,,,,ZygoLCG
Coemansia sp.,RSA 2131,GWGAY,,,,,ZygoLCG
Coemansia sp.,RSA 2167,RSA2167,,,,,ZygoLCG
Coemansia sp.,RSA 2320,CUPYA,SAMN10872739,PRJNA519287,SRS4604247,EV174,ZygoLCG
Coemansia sp.,RSA 2322,GPGBH,SAMN13190140,PRJNA581581,,GGI02,ZygoLCG
Coemansia sp.,RSA 2336,CUPYC,SAMN10872746,PRJNA519296,SRS4604277,EV183,ZygoLCG
Coemansia sp.,RSA 2337,GPGGG,SAMN13189934,PRJNA581582,,GGI03,ZygoLCG
Coemansia sp.,RSA 2399,RSA2399,,,,,ZygoLCG
Coemansia sp.,RSA 2424,GPGCZ,SAMN13190351,PRJNA581168,,GGF42,ZygoLCG
Coemansia sp.,RSA 2440,GWGAZ,,,,,ZygoLCG
Coemansia sp.,RSA 25,GPCYT,SAMN13190349,PRJNA581164,,GGF38,ZygoLCG
Coemansia sp.,RSA 2523,RSA2523,,,,,ZygoLCG
Coemansia sp.,RSA 2524,GPGGT,SAMN13190352,PRJNA581173,,GGF47,ZygoLCG
Coemansia sp.,RSA 2526,GWCYU,,,,,ZygoLCG
Coemansia sp.,RSA 2530,GPGGO,SAMN13190183,PRJNA581589,,GGI10,ZygoLCG
Coemansia sp.,RSA 2531,GPCZT,SAMN13190145,PRJNA581167,,GGF41,ZygoLCG
Coemansia sp.,RSA 2559,GPCYY,SAMN13190217,PRJNA581602,,GGI23,ZygoLCG
Coemansia sp.,RSA 2598,RSA2598,,,,,ZygoLCG
Coemansia sp.,RSA 2599,RSA2599,,,,,ZygoLCG
Coemansia sp.,RSA 2603,GPGBT,SAMN13190141,PRJNA581584,,GGI05,ZygoLCG
Coemansia sp.,RSA 2607,GWCYT,,,,,ZygoLCG
Coemansia sp.,RSA 2610,GWGBB,,,,,ZygoLCG
Coemansia sp.,RSA 2611,GWGBC,,,,,ZygoLCG
Coemansia sp.,RSA 2618,GOUNY,SAMN13190218,PRJNA581169,,GGF43,ZygoLCG
Coemansia sp.,RSA 2671,GPCYZ,SAMN13190345,PRJNA581570,,GGH91,ZygoLCG
Coemansia sp.,RSA 2673,GPGAO,SAMN13190180,PRJNA581571,,GGH92,ZygoLCG
Coemansia sp.,RSA 2675,RSA2675,,,,,ZygoLCG
Coemansia sp.,RSA 2681,GPGHO,SAMN13190101,PRJNA581579,,GGI00,ZygoLCG
Coemansia sp.,RSA 2703,RSA2703,,,,,ZygoLCG
Coemansia sp.,RSA 2704,GWGBH,,,,,ZygoLCG
Coemansia sp.,RSA 2705,GWGBN,,,,,ZygoLCG
Coemansia sp.,RSA 2706,GWGBO,,,,,ZygoLCG
Coemansia sp.,RSA 2708,RSA2708,,,,,ZygoLCG
Coemansia sp.,RSA 2711,RSA2711,,,,,ZygoLCG
Coemansia sp.,RSA 353,GWCYZ,,,,,ZygoLCG
Coemansia sp.,RSA 355,GWCYW,,,,,ZygoLCG
Coemansia sp.,RSA 370,GOUNW,SAMN13190343,PRJNA581493,,GGH14,ZygoLCG
Coemansia sp.,RSA 371,GWCYY,,,,,ZygoLCG
Coemansia sp.,RSA 376,GPGCU,SAMN13190102,PRJNA581580,,GGI01,ZygoLCG
Coemansia sp.,RSA 451,CUPZZ,SAMN10872740,PRJNA519289,SRS4604782,EV176,ZygoLCG
Coemansia sp.,RSA 454,GPGCS,SAMN13190382,PRJNA581577,,GGH98,ZygoLCG
Coemansia sp.,RSA 455,GPCZW,SAMN13190184,PRJNA581592,,GGI13,ZygoLCG
Coemansia sp.,RSA 475,GPGAX,SAMN13190385,PRJNA581576,,GGH97,ZygoLCG
Coemansia sp.,RSA 486,RSA486,,,,,ZygoLCG
Coemansia sp.,RSA 487,CUPYB,SAMN10872743,PRJNA519292,SRS4604251,EV179,ZygoLCG
Coemansia sp.,RSA 518,CUPYG,SAMN10872744,PRJNA519293,SRS4604278,EV180,ZygoLCG
Coemansia sp.,RSA 521,GWCZB,,,,,ZygoLCG
Coemansia sp.,RSA 522,GWCZC,SAMN13189934,PRJNA581582,SRS6089195,GGI03,ZygoLCG
Coemansia sp.,RSA 530,GPCZA,SAMN13190147,PRJNA581497,,GGH18,ZygoLCG
Coemansia sp.,RSA 532,CUPXZ,SAMN10872745,PRJNA519294,SRS4604246,EV181,ZygoLCG
Coemansia sp.,RSA 551,GPGHC,SAMN13189932,PRJNA581171,,GGF45,ZygoLCG
Coemansia sp.,RSA 552,GPCZG,SAMN13190146,PRJNA581172,,GGF46,ZygoLCG
Coemansia sp.,RSA 560,GPCZZ,SAMN13190135,PRJNA581495,,GGH16,ZygoLCG
Coemansia sp.,RSA 562,GOUNX,SAMN13190138,PRJNA581494,SRS6097267,GGH15,ZygoLCG
Coemansia sp.,RSA 564,GWCZG,,,,,ZygoLCG
Coemansia sp.,RSA 637,GWCZN,SAMN10872746,PRJNA519296,SRS4604277,EV183,ZygoLCG
Coemansia sp.,RSA 638,RSA638,,,,,ZygoLCG
Coemansia sp.,RSA 678,GWCZO,,,,,ZygoLCG
Coemansia sp.,RSA 720,GWCZH,,,,,ZygoLCG
Coemansia sp.,RSA 788,GPGBG,SAMN13190040,PRJNA581496,,GGH17,ZygoLCG
Coemansia sp.,RSA 921,GPGGS,SAMN13189928,PRJNA581174,,GGF48,ZygoLCG
Coemansia sp.,RSA 986,GWCZS,,,,,ZygoLCG
Coemansia sp.,RSA 989,RSA989,,,,,ZygoLCG
Coemansia sp.,RSA 990,RSA990,,,,,ZygoLCG
Coemansia sp.,S100,GPCZC,SAMN13190346,PRJNA581588,,GGI09,ZygoLCG
Coemansia sp.,S142-1,GPCZY,SAMN13190387,PRJNA581595,,GGI16,ZygoLCG
Coemansia sp.,S146,GPGCP,SAMN13190216,PRJNA581596,,GGI17,ZygoLCG
Coemansia sp.,S155-1,GPGAA,SAMN13190381,PRJNA581492,,GGH13,ZygoLCG
Coemansia sp.,S16,GWGBS,,,,,ZygoLCG
Coemansia sp.,S17,S17,,,,,ZygoLCG
Coemansia sp.,S2,GPCZP,SAMN13190042,PRJNA581587,,GGI08,ZygoLCG
Coemansia sp.,S3946,GWGBT,,,,,ZygoLCG
Coemansia sp.,S680,GPGAB,SAMN13190043,PRJNA581593,,GGI14,ZygoLCG
Coemansia sp.,S85,GPGCO,SAMN13190104,PRJNA581585,,GGI06,ZygoLCG
Coemansia spiralis,NRRL 3115,GPGCY,SAMN13166136,PRJNA581604,,GGI25,ZygoLCG
Coemansia thaxteri,IMI 214461,GWGCA,,,,,ZygoLCG
Coemansia thaxteri,IMI 214463,GPGBU,SAMN13190103,PRJNA581583,,GGI04,ZygoLCG
Coemansia umbellata,BCRC 34882,COZTW,SAMN10362771,PRJNA500289,SRS4247319,EDC05,ZygoLCG
Dimargaris cristalligena,RSA 1219,GWGBX,,,,,ZygoLCG
Dimargaris verticellata,RSA 567,GWGBY,,,,,ZygoLCG
Dimargaris xerosporica,NRRL 3178,GWGBZ,,,,,ZygoLCG
Dipsacomyces acuminosporus,NRRL 2925,GPYHY,SAMN13165479,PRJNA581591,,GGI12,ZygoLCG
Kickxella alabastrina,Benny 63K,Benny63K,,,,,ZygoLCG
Kickxella alabastrina,RSA 2140,GPGBC,SAMN13165483,PRJNA581163,,GGF37,ZygoLCG
Linderina macrospora,NRRL 5244,GBNSH,SAMN11510661,PRJNA535837,SRS5393852,FBU59,ZygoLCG
Linderina pennispora,NRRL 3781,CTHUX,SAMN10361243,PRJNA499694,SRS4288462,EC988,ZygoLCG
Mycoemilia scoparia,NBRC 100468,GWCZT,,,,,ZygoLCG
Spiromyces aspiralis,RSA 2271,CUPXW,SAMN10864757,PRJNA519295,SRS4604250,EV182,ZygoLCG
Dissophora ornata,NRRL 22417,BCCTU,SAMN05720457,PRJNA340805,SRS1932017,BGZ58,Mortierellaceae_MLST
Echinosporangium transversalis,NRRL 5525,BCCTS,SAMN06281768,PRJNA364309,SRS2358157,BX616,Mortierellaceae_MLST
Haplosporangium bisporale,NRRL A-12553,BCCSG,SAMN05727890,PRJNA340799,SRS1932021,BGZ52,Mortierellaceae_MLST
Haplosporangium lignicola,NRRL 2525,BCCOW,SAMN05720451,PRJNA340793,SRS1932011,BGZ46,Mortierellaceae_MLST
Haplosporangium sp.,NRRL 3175,BCCPO,SAMN05727888,PRJNA340796,SRS1932019,BGZ49,Mortierellaceae_MLST
Haplosporangium sp.,NRRL A-10739,BCCTX,SAMN05727889,PRJNA340797,SRS1932022,BGZ50,Mortierellaceae_MLST
Haplosporangium sp.,NRRL A-10996,BCCSB,SAMN05727887,PRJNA340798,SRS1932020,BGZ51,Mortierellaceae_MLST
Lobosporangium transversale,NRRL 3116,BCCPH,SAMN06281768,PRJNA364309,SRS2358157,BX616,Mortierellaceae_MLST
Modicella reniformis,MES-2147,BCCSY,SAMN05720516,PRJNA340812,SRS1932137,BGZ65,Mortierellaceae_MLST
Mortierella alpina,AD071,BCCSN,SAMN05720461,PRJNA340814,SRS1930914,BGZ67,Mortierellaceae_MLST
Mortierella alpina,AD072,BCCSS,SAMN05720462,PRJNA340815,SRS1930917,BGZ68,Mortierellaceae_MLST
Mortierella alpina,CK1249,BCCGZ,SAMN05720518,PRJNA340817,SRS1930926,BGZ70,Mortierellaceae_MLST
Mortierella alpina,GBA31,BCCHH,SAMN05720773,PRJNA340819,SRS1930928,BGZ72,Mortierellaceae_MLST
Mortierella alpina,NRRL 66262,CTHWC,SAMN10361219,PRJNA499674,SRS4289378,EC968,ZygoLCG
Mortierella ambigua,BC1065,CHXXH,SAMN09074672,PRJNA463334,SRS3664051,DFQ27,ZygoLCG
Mortierella ambigua,BC1291,CHXXN,SAMN09074671,PRJNA463333,SRS3664052,DFQ26,ZygoLCG
Mortierella ambigua,NRRL 28271,BCCPB,SAMN05720519,PRJNA340820,SRS1932112,BGZ73,Mortierellaceae_MLST
Mortierella antarctica,KOD 1229,BCCSH,SAMN05720774,PRJNA340822,SRS1932134,BGZ75,Mortierellaceae_MLST
Mortierella beljakovae,KOD 1040,BCCSX,SAMN05720775,PRJNA340823,SRS1932032,BGZ76,Mortierellaceae_MLST
Mortierella camargensis,NRRL 2610,BCCOY,SAMN05727885,PRJNA340794,SRS1932652,BGZ47,Mortierellaceae_MLST
Mortierella chineii,NRRL 5217,BCCUA,SAMN05720484,PRJNA340478,SRS1932132,BGW40,ZygoLCG
Mortierella chlamydospora,AD033,BCCHP,SAMN05720793,PRJNA340826,SRS1930902,BGZ79,Mortierellaceae_MLST
Mortierella chlamydospora,NRRL 2769,BCCPW,SAMN05720521,PRJNA340827,SRS1932035,BGZ80,Mortierellaceae_MLST
Mortierella claussenii,NRRL 2760,CTHPN,SAMN10363166,PRJNA500529,SRS4093515,EDD11,ZygoLCG
Mortierella clonocystis,AM1000,BCCTG,SAMN05720794,PRJNA340828,SRS1930920,BGZ81,Mortierellaceae_MLST
Mortierella clonocystis,KOD 947,BCCNY,SAMN05720795,PRJNA340829,SRS1932039,BGZ82,Mortierellaceae_MLST
Mortierella elongata,GBA34,BCCHN,SAMN05720796,PRJNA340835,SRS1931033,BGZ88,Mortierellaceae_MLST
Mortierella elongata,GBA40,BCCOP,SAMN05720440,PRJNA340836,SRS1931039,BGZ89,Mortierellaceae_MLST
Mortierella elongata,NVP5,BCCNX,SAMN05720527,PRJNA340837,SRS1931041,BGZ90,Mortierellaceae_MLST
Mortierella elongata,NVP71,BCCOB,SAMN05720528,PRJNA340838,SRS1932007,BGZ91,Mortierellaceae_MLST
Mortierella epicladia,AD058,BCCNA,SAMN05720441,PRJNA340839,SRS1930899,BGZ92,Mortierellaceae_MLST
Mortierella epicladia,KOD 1059,BCCTC,SAMN05720442,PRJNA340840,SRS1932033,BGZ93,Mortierellaceae_MLST
Mortierella epigama,NRRL 5512,BCCPG,SAMN05720443,PRJNA340841,SRS1932105,BGZ94,Mortierellaceae_MLST
Mortierella exigua,NRRL 28262,BCCOU,SAMN05720535,PRJNA340842,SRS1932040,BGZ95,Mortierellaceae_MLST
Mortierella gamsii,AD045,BCCHY,SAMN05720529,PRJNA340843,SRS1930903,BGZ96,Mortierellaceae_MLST
Mortierella gamsii,NVP60,BCCNZ,SAMN05720530,PRJNA340844,SRS1932008,BGZ97,Mortierellaceae_MLST
Mortierella globulifera,AD054,BCCHZ,SAMN05720444,PRJNA340845,SRS1930898,BGZ98,Mortierellaceae_MLST
Mortierella globulifera,REB-010B,BCCPT,SAMN05720531,PRJNA340846,SRS1932010,BGZ99,Mortierellaceae_MLST
Mortierella horticola,AD009,BCCTN,SAMN05720532,PRJNA340847,SRS1930870,BG000,Mortierellaceae_MLST
Mortierella horticola,CK413,BCCHB,SAMN05720445,PRJNA340850,SRS1930925,BG003,Mortierellaceae_MLST
Mortierella humilis,KOD 1050,BCCTA,SAMN05720536,PRJNA340851,SRS1932034,BG004,Mortierellaceae_MLST
Mortierella hygrophila,NRRL 2591,CTHUY,SAMN10361082,PRJNA499664,SRS4288478,EC957,ZygoLCG
Mortierella isabellina,NRRL A-11333,GAUZH,SAMN11510677,PRJNA536134,SRS5119186,FBW87,ZygoLCG
